
# Surface 0 of 1 surfaces

# Curve title: ""MAC_boco_omega.csv""

# IsoCurve 0, 201 points
# x y z type
 29.8  1.8  0.122693 i
 29.8  1.9  0.0782038 i
 29.8  2  0.0330632 i
 29.8  2.1 -0.0119705 i
 29.8  2.2 -0.0557435 i
 29.8  2.3 -0.0970119 i
 29.8  2.4 -0.134655 i
 29.8  2.5 -0.167819 i
 29.8  2.6 -0.19601 i
 29.8  2.7 -0.219113 i
 29.8  2.8 -0.237347 i
 29.8  2.9 -0.251169 i
 29.8  3 -0.261152 i
 29.8  3.1 -0.267874 i
 29.8  3.2 -0.271844 i
 29.8  3.3 -0.273464 i
 29.8  3.4 -0.27303 i
 29.8  3.5 -0.270748 i
 29.8  3.6 -0.266767 i
 29.8  3.7 -0.261206 i
 29.8  3.8 -0.254178 i
 29.8  3.9 -0.245803 i
 29.8  4 -0.236219 i
 29.8  4.1 -0.225583 i
 29.8  4.2 -0.214071 i
 29.8  4.3 -0.20187 i
 29.8  4.4 -0.189173 i
 29.8  4.5 -0.176173 i
 29.8  4.6 -0.163058 i
 29.8  4.7 -0.150008 i
 29.8  4.8 -0.137186 i
 29.8  4.9 -0.124738 i
 29.8  5 -0.112789 i
 29.8  5.1 -0.10144 i
 29.8  5.2 -0.0907697 i
 29.8  5.3 -0.0808319 i
 29.8  5.4 -0.0716594 i
 29.8  5.5 -0.0632648 i
 29.8  5.6 -0.0556432 i
 29.8  5.7 -0.0487749 i
 29.8  5.8 -0.0426284 i
 29.8  5.9 -0.037163 i
 29.8  6 -0.0323316 i
 29.8  6.1 -0.0280828 i
 29.8  6.2 -0.0243634 i
 29.8  6.3 -0.0211193 i
 29.8  6.4 -0.0182976 i
 29.8  6.5 -0.0158472 i
 29.8  6.6 -0.01372 i
 29.8  6.7 -0.0118721 i
 29.8  6.8 -0.0102646 i
 29.8  6.9 -0.00886547 i
 29.8  7 -0.00765179 i
 29.8  7.1 -0.00661219 i
 29.8  7.2 -0.00575042 i
 29.8  7.3 -0.005089 i
 29.8  7.4 -0.0046729 i
 29.8  7.5 -0.0045724 i
 29.8  7.6 -0.0048841 i
 29.8  7.7 -0.00572907 i
 29.8  7.8 -0.00724695 i
 29.8  7.9 -0.00958526 i
 29.8  8 -0.0128837 i
 29.8  8.1 -0.017254 i
 29.8  8.2 -0.0227572 i
 29.8  8.3 -0.029381 i
 29.8  8.4 -0.0370201 i
 29.8  8.5 -0.0454645 i
 29.8  8.6 -0.0543982 i
 29.8  8.7 -0.0634105 i
 29.8  8.8 -0.0720212 i
 29.8  8.9 -0.0797186 i
 29.8  9 -0.0860048 i
 29.8  9.1 -0.0904451 i
 29.8  9.2 -0.0927135 i
 29.8  9.3 -0.0926269 i
 29.8  9.4 -0.0901606 i
 29.8  9.5 -0.0854445 i
 29.8  9.6 -0.0787813 i
 29.8  9.7 -0.0708416 i
 29.8  9.8 -0.0632925 i
 29.8  9.9 -0.0592957 i
 29.8  10  0 i

# IsoCurve 3, 201 points
# x y z type
 29.7 -10  0 i
 29.7 -9.9 -0.00653269 i
 29.7 -9.8 -0.00708179 i
 29.7 -9.7 -0.00711936 i
 29.7 -9.6 -0.00703534 i
 29.7 -9.5 -0.00697066 i
 29.7 -9.4 -0.00695586 i
 29.7 -9.3 -0.00701742 i
 29.7 -9.2 -0.00720397 i
 29.7 -9.1 -0.00758604 i
 29.7 -9 -0.00825361 i
 29.7 -8.9 -0.00931307 i
 29.7 -8.8 -0.0108814 i
 29.7 -8.7 -0.0130769 i
 29.7 -8.6 -0.016005 i
 29.7 -8.5 -0.0197426 i
 29.7 -8.4 -0.0243188 i
 29.7 -8.3 -0.0296982 i
 29.7 -8.2 -0.0357663 i
 29.7 -8.1 -0.0423219 i
 29.7 -8 -0.0490784 i
 29.7 -7.9 -0.0556757 i
 29.7 -7.8 -0.0617031 i
 29.7 -7.7 -0.0667328 i
 29.7 -7.6 -0.0703601 i
 29.7 -7.5 -0.0722466 i
 29.7 -7.4 -0.0721608 i
 29.7 -7.3 -0.0700102 i
 29.7 -7.2 -0.0658596 i
 29.7 -7.1 -0.0599311 i
 29.7 -7 -0.0525853 i
 29.7 -6.9 -0.0442845 i
 29.7 -6.8 -0.0355419 i
 29.7 -6.7 -0.026866 i
 29.7 -6.6 -0.0187056 i
 29.7 -6.5 -0.0114062 i
 29.7 -6.4 -0.00518211 i
 29.7 -6.3 -0.000107988 i
 29.7 -6.2  0.00387214 i
 29.7 -6.1  0.00692181 i
 29.7 -6  0.0092824 i
 29.7 -5.9  0.0112441 i
 29.7 -5.8  0.0131236 i
 29.7 -5.7  0.0152537 i
 29.7 -5.6  0.0179844 i
 29.7 -5.5  0.021696 i
 29.7 -5.4  0.0268166 i
 29.7 -5.3  0.0338378 i
 29.7 -5.2  0.0433192 i
 29.7 -5.1  0.0558728 i
 29.7 -5  0.0721218 i
 29.7 -4.9  0.0926341 i
 29.7 -4.8  0.117838 i
 29.7 -4.7  0.147934 i
 29.7 -4.6  0.182826 i
 29.7 -4.5  0.222082 i
 29.7 -4.4  0.264951 i
 29.7 -4.3  0.310424 i
 29.7 -4.2  0.357343 i
 29.7 -4.1  0.404523 i
 29.7 -4  0.450877 i
 29.7 -3.9  0.49551 i
 29.7 -3.8  0.537771 i
 29.7 -3.7  0.577253 i
 29.7 -3.6  0.613762 i
 29.7 -3.5  0.647259 i
 29.7 -3.4  0.677797 i
 29.7 -3.3  0.705468 i
 29.7 -3.2  0.730374 i
 29.7 -3.1  0.752617 i
 29.7 -3  0.7723 i
 29.7 -2.9  0.789539 i
 29.7 -2.8  0.804457 i
 29.7 -2.7  0.817128 i
 29.7 -2.6  0.827488 i
 29.7 -2.5  0.835553 i
 29.7 -2.4  0.841635 i
 29.7 -2.3  0.845863 i
 29.7 -2.2  0.848157 i
 29.7 -2.1  0.848604 i
 29.7 -2  0.847316 i
 29.7 -1.9  0.844395 i
 29.7 -1.8  0.83994 i
 29.7 -1.7  0.834046 i
 29.7 -1.6  0.826809 i
 29.7 -1.5  0.818325 i
 29.7 -1.4  0.808692 i
 29.7 -1.3  0.798014 i
 29.7 -1.2  0.786403 i
 29.7 -1.1  0.773976 i
 29.7 -1  0.760862 i
 29.7 -0.9  0.7472 i
